Date,id,Gazole,SP95,SP98,E10,E85,GPLc,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type,Enseigne
2024-01-15,70500001,1.747,0.0,0.0,0.0,0.0,0.0,70500001,Carrefour Market,4782741.0,590571.0,70500, Avenue de Verdun,JUSSEY,grande_marque,Carrefour
2024-05-06,42334001,1.713,0.0,1.998,1.886,0.0,0.0,42334001,Carrefour,4606600.0,405700.0,42334,Rue Jean de La Fontaine,MABLY,grande_marque,Carrefour
2024-06-14,12200002,1.648,1.859,1.919,1.799,0.0,0.0,12200002,Carrefour,4436100.0,203400.0,12200,Avenue de Toulouse,VILLEFRANCHE-DE-ROUERGUE,grande_marque,Carrefour
2024-02-12,94100005,1.854,0.0,1.924,1.853,0.0,0.0,94100005,Carrefour Market,4879623.7162845,249299.10965866,94100,"57, Rue Delerue",SAINT-MAUR-DES-FOSSéS,grande_marque,Carrefour
2024-06-03,61100007,1.699,1.849,1.899,0.0,0.0,0.0,61100007,Carrefour Market,4876653.00919,-72290.5356341,61800,ROUTE DE PARIS,TINCHEBRAY,grande_marque,Carrefour
2024-02-21,29780001,1.847,1.873,1.913,0.0,0.0,0.0,29780001,Carrefour Market,4801695.0,-450181.0,29780,1 rue Brizeux,PLOUHINEC,grande_marque,Carrefour
2024-02-01,14540001,1.819,1.879,0.0,0.0,0.0,0.0,14540001,Carrefour Contact,4914011.63603,-30050.8505075,14540,route de Caen,SOLIERS,grande_marque,Carrefour
2024-06-20,33950002,1.66,1.82,1.86,0.0,0.0,0.0,33950002,Carrefour Contact,4479034.0,-114618.0,33950,5 Avenue de la Presqu'Île,Lège-Cap-Ferret,grande_marque,Carrefour
2024-04-09,64120004,1.787,1.939,1.989,1.839,0.0,0.0,64120004,Carrefour Market,4332722.4350858,-103345.85189475,64120,Rue Gambetta,Amendeuix-Oneix,grande_marque,Carrefour
2024-07-18,42210001,1.726,1.866,1.944,0.0,0.0,0.0,42210001,Carrefour Market,4564400.0,423400.0,42210,114 Rue du Rival,MONTROND-LES-BAINS,grande_marque,Carrefour
2024-07-02,84700007,1.699,0.0,0.0,1.819,0.0,0.0,84700007,Carrefour Market,4400503.69,487475.61,84700,place Wettenberg,Sorgues,grande_marque,Carrefour
2024-02-07,11101001,1.755,0.0,1.849,1.769,0.0,0.0,11101001,Carrefour,4317900.0,302900.0,11100,AVENUE HUBERT MOULY,NARBONNE,grande_marque,Carrefour
2024-02-04,62270002,1.759,1.829,1.889,0.0,0.0,0.0,62270002,Carrefour Market,5027748.0,229229.0,62270,"5,RUE JULES FERRY",FRéVENT,grande_marque,Carrefour
2024-04-28,71850001,1.719,1.929,0.0,1.899,0.0,0.0,71850001,Carrefour Market,4630944.0,481183.0,71850, Rue de la Chapelle,CHARNAY-LèS-MâCON,grande_marque,Carrefour
2024-05-08,93290003,1.739,1.931,0.0,1.879,0.0,0.0,93290003,Carrefour Market,4894674.60327,257048.818541,93290,AV GILBERT BERGER,TREMBLAY-EN-FRANCE,grande_marque,Carrefour
2024-01-01,25530001,1.749,1.819,1.845,0.0,0.0,0.0,25530001,Carrefour Express,4718000.0,639000.0,25530,Rue des Fourches,VERCEL-VILLEDIEU-LE-CAMP,grande_marque,Carrefour
2024-05-26,8110001,1.729,1.949,1.999,0.0,0.0,0.0,8110001,Carrefour Market,4962000.0,519100.0,8110,route nationale,Blagny,grande_marque,Carrefour
2024-07-04,62840005,1.709,0.0,1.909,1.819,0.999,0.0,62840005,Carrefour Contact,5065883.405,277032.57631579,62840,1173 RUE DE LA LYS,Sailly-sur-la-Lys,grande_marque,Carrefour
2024-07-03,77130006,1.729,0.0,1.895,1.811,0.0,0.0,77130006,Carrefour,4839853.91824,295158.027595,77130,BOULEVARD DIDEROT,MONTEREAU-FAULT-YONNE,grande_marque,Carrefour
2024-04-21,2120003,1.764,1.935,2.014,0.0,0.0,0.0,2120003,Carrefour Market,4990316.0,362899.0,2120,RUE SADI CARNOT,GUISE,grande_marque,Carrefour
2024-07-23,2220001,1.699,0.0,1.899,1.799,0.899,0.0,2220001,Carrefour Market,4934100.0,352900.0,2220,34 BD DE MONTPELLIER,BRAINE,grande_marque,Carrefour
2024-08-09,33460006,1.655,1.805,1.859,0.0,0.0,0.0,33460006,Carrefour,4506900.0,-72300.0,33460,ZAC Terre de Pont,Arcins,grande_marque,Carrefour
2024-03-17,33450007,1.769,1.839,1.879,0.0,0.0,0.0,33450007,Carrefour Market,4491560.9,-42185.6,33450,101 avenue de la République,Saint-Loubès,grande_marque,Carrefour
2024-06-07,38110001,1.659,0.0,1.929,1.809,0.0,0.0,38110001,Carrefour Market,4557300.0,547200.0,38110,Avenue de Savoie,SAINT-CLAIR-DE-LA-TOUR,grande_marque,Carrefour
2024-03-13,77360001,1.839,1.899,1.949,1.869,0.0,0.0,77360001,Carrefour Market,4887400.0,264100.0,77360,Place du Général de Gaulle,VAIRES-SUR-MARNE,grande_marque,Carrefour
2024-07-08,27800001,1.737,1.845,0.0,0.0,0.965,0.0,27800001,Carrefour Market,4919900.0,71600.0,27800,Rue des Martyres,BRIONNE,grande_marque,Carrefour
2024-01-19,49630006,1.709,1.78,1.809,0.0,0.0,0.0,49630006,Carrefour Contact,4747359.77,-34490.98,49630,Corne - 11 rue de bellevue,LOIRE-AUTHION,grande_marque,Carrefour
2024-07-06,64150008,1.678,1.786,1.828,0.0,0.0,0.0,64150008,Carrefour Market,4338565.4130567,-61129.551817699,64150,CHEMIN DEPARTEMENTAL 533,OS MARSILLON,grande_marque,Carrefour
2024-04-30,89144002,1.75,0.0,0.0,1.9,0.96,0.0,89144002,Carrefour Contact,4789500.0,375800.0,89144,13 Avenue de Chablis,Ligny-le-Châtel,grande_marque,Carrefour
2024-07-09,1210001,1.73,1.865,1.92,0.0,0.0,0.0,1210001,Carrefour,4625303.0,611817.0,1210,Chemin de la Brunette,FERNEY-VOLTAIRE,grande_marque,Carrefour
2024-08-05,46220002,1.649,0.0,1.849,1.757,0.849,0.0,46220002,Carrefour Market,4450500.0,117500.0,46220,ROUTE DE FUMEL,PRAYSSAC,grande_marque,Carrefour
2024-07-10,9210001,1.729,0.0,1.929,1.829,0.889,0.0,9210001,Carrefour Market,4328100.0,134800.0,9210,La Sinsole,LEZAT SUR LEZE,grande_marque,Carrefour
2024-02-23,14112001,1.799,1.854,1.897,0.0,0.0,0.0,14112001,Carrefour Contact,4924100.0,-32700.0,14112,2 RUE DES ECOLES,BIEVILLE-BEUVILLE,grande_marque,Carrefour
2024-05-25,56370005,1.719,1.925,1.969,0.0,0.0,0.0,56370005,Carrefour Contact,4752600.0,-264600.0,56370,8 rue de la Mairie - le Bourg,Le Tour-du-Parc,grande_marque,Carrefour
2024-03-11,86580002,1.799,1.869,1.909,0.0,0.0,0.0,86580002,Carrefour Contact,4657109.72,27208.73,86580,13 place de la croix cadet,Vouneuil-sous-Biard,grande_marque,Carrefour
2024-05-29,58180001,1.7,0.0,1.949,1.809,0.0,0.0,58180001,Carrefour,4699900.0,310700.0,58180,Route de Fourchambault,MARZY,grande_marque,Carrefour
2024-01-19,1210001,1.724,1.805,1.865,0.0,0.0,0.0,1210001,Carrefour,4625303.0,611817.0,1210,Chemin de la Brunette,FERNEY-VOLTAIRE,grande_marque,Carrefour
2024-01-12,3300001,1.721,1.81,1.862,0.0,0.0,0.0,3300001,Carrefour Market,4613843.645,344866.775,3300,RTE DE CHARMEIL,CUSSET,grande_marque,Carrefour
2024-02-05,54000013,1.799,1.863,1.899,0.0,0.0,0.0,54000013,Carrefour Express,4868939.2259323,616175.66153138,54000,6 Avenue de Boufflers,Nancy,grande_marque,Carrefour
2024-05-05,62840005,1.799,1.869,1.949,0.0,1.009,0.0,62840005,Carrefour Contact,5065883.405,277032.57631579,62840,1173 RUE DE LA LYS,Sailly-sur-la-Lys,grande_marque,Carrefour
2024-05-29,62450001,1.676,1.794,1.906,0.0,0.0,0.0,62450001,Carrefour Market,5010600.0,284300.0,62450,Avenue des frères Davion,BAPAUME,grande_marque,Carrefour
2024-04-11,31560002,1.81,1.971,2.02,0.0,0.0,0.0,31560002,Carrefour Contact,4335600.0,162300.0,31560,4 AVENUE COCAGNE,Nailloux,grande_marque,Carrefour
2024-05-17,66270004,1.68,0.0,1.959,1.869,0.0,0.0,66270004,Carrefour,4268609.0286948,281710.65594275,66270,ZA SAINTE EUGENIE,LE SOLER,grande_marque,Carrefour
2024-01-14,62240005,1.69,1.77,1.859,1.86,0.0,0.0,62240005,Carrefour Contact,5066900.0,183800.0,62240,22 rue du 11 Novembre,DESVRES,grande_marque,Carrefour
2024-07-22,14250002,1.681,1.819,0.0,0.0,0.0,0.0,14250002,Carrefour Contact,4917918.0,-62255.0,14250,1 COUR PERON,Tilly-sur-Seulles,grande_marque,Carrefour
2024-03-10,17520001,1.824,1.872,1.921,0.0,0.0,0.0,17520001,Carrefour Contact,4552800.0,-30400.0,17520,ZA du Tonneau,Archiac,grande_marque,Carrefour
2024-07-24,53002001,1.669,1.829,1.859,1.779,0.849,0.0,53002001,Carrefour,4807900.0,-79900.0,53000,46 avenue de lattre de tassigny,LAVAL,grande_marque,Carrefour
2024-03-05,57940001,1.859,0.0,1.949,1.869,0.0,0.0,57940001,Carrefour Contact,4932021.0046711,627828.54114496,57940,de l'Arc Mosellan,Metzervisse,grande_marque,Carrefour
2024-01-01,11310001,1.73,1.81,1.82,0.0,0.0,0.0,11310001,Carrefour Express,4336297.8379985,216139.41268092,11310,698 rue Bernard Marty lot las fountetos,Saissac,grande_marque,Carrefour
2024-06-09,84120006,1.641,0.0,0.0,1.779,0.949,0.0,84120006,Carrefour Market,4368100.0,550100.0,84120,"Route d'Aix en Provence, Quartier Saint Martin",Pertuis,grande_marque,Carrefour
2024-07-27,19316001,1.691,1.839,1.882,0.0,0.0,0.0,19316001,Carrefour,4514500.0,148300.0,19100,"14,rue louis taurisson",BRIVE-LA-GAILLARDE,grande_marque,Carrefour
2024-01-13,29290001,1.669,1.735,1.799,0.0,0.96,0.929,29290001,Carrefour,4842890.0,-461368.0,29290,RUE DU PONT DE BOIS,Saint-Renan,grande_marque,Carrefour
2024-04-27,59920001,1.788,0.0,2.041,1.925,0.0,0.0,59920001,Carrefour Market,5040300.0,366900.0,59920,53 Avenue Jean Jaurès,QUIéVRECHAIN,grande_marque,Carrefour
2024-06-13,78960001,1.684,1.822,1.889,1.786,0.0,0.0,78960001,Carrefour Market,4875600.0,205500.0,78960,RUE AUX FLEURS,Voisins-le-Bretonneux,grande_marque,Carrefour
2024-04-18,57190001,1.804,1.846,1.921,0.0,0.0,0.0,57190001,Carrefour Market,4931759.0,611436.0,57190,11 Rue Nationale,FLORANGE,grande_marque,Carrefour
2024-05-02,74800005,1.789,1.969,2.019,0.0,0.0,0.0,74800005,Carrefour Market,4607000.0,632000.0,74800,80 ROUTE DE LA ROCHE,AMANCY,grande_marque,Carrefour
2024-07-05,21320004,1.719,1.849,0.0,0.0,0.0,0.0,21320004,Carrefour Contact,4725100.0,457600.0,21320,ZA LE PRE RABY / CREANCEY,POUILLY-EN-AUXOIS,grande_marque,Carrefour
2024-04-07,45240001,1.756,1.885,1.949,0.0,0.0,0.0,45240001,Carrefour Market,4772163.454,194436.048044,45240,RUE DES PRES FLEURIS,LA FERTé-SAINT-AUBIN,grande_marque,Carrefour
2024-03-25,67260009,1.803,1.842,1.899,0.0,0.0,0.0,67260009,Carrefour Contact,4894000.0,708500.0,67260,4C rue du Maréchal Foch,Sarre-Union,grande_marque,Carrefour
2024-01-20,38780001,1.768,0.0,1.881,1.804,0.0,0.0,38780001,Carrefour Market,4552800.0,491500.0,38780,Rue Joseph Grenouillet,PONT-ÉVêQUE,grande_marque,Carrefour
2024-07-03,59190009,1.739,0.0,1.899,1.829,0.0,0.0,59190009,Carrefour Contact,5075828.6445109,260238.15969871,59190,70 Route d'Hazebrouck,Caëstre,grande_marque,Carrefour
2024-05-31,74000002,1.706,1.902,1.932,1.812,0.904,0.0,74000002,Carrefour,4591900.0,612400.0,74000,134 avenue de geneve,ANNECY,grande_marque,Carrefour
2024-05-03,62250009,1.71,1.911,1.976,0.0,0.0,0.0,62250009,Carrefour Contact,5084000.0,177400.0,62250,RUE JEAN MONNET,Landrethun-le-Nord,grande_marque,Carrefour
2024-07-30,91700003,1.706,1.839,1.889,1.789,0.884,0.0,91700003,Carrefour,4863900.0,233400.0,91700,139 Route de Corbeil,SAINTE-GENEVIèVE-DES-BOIS,grande_marque,Carrefour
2024-05-22,33460006,1.699,1.875,1.929,0.0,0.0,0.0,33460006,Carrefour,4506900.0,-72300.0,33460,ZAC Terre de Pont,Arcins,grande_marque,Carrefour
2024-05-05,76230002,1.685,0.0,1.983,1.847,0.0,0.0,76230002,Carrefour Market,4947011.65096,111748.807822,76230,Rue de la République,BOIS-GUILLAUME,grande_marque,Carrefour
2024-05-30,80240001,1.679,1.869,1.929,0.0,0.0,0.0,80240001,Carrefour Contact,4994800.0,310800.0,80240,Rue du Nouveau Monde,ROISEL,grande_marque,Carrefour
2024-04-27,51100001,1.729,1.919,1.979,0.0,0.0,0.0,51100001,Carrefour Market,4925166.0,404689.0,51100,5 Avenue Georges Clemenceau,REIMS,grande_marque,Carrefour
2024-08-02,24500002,1.699,1.899,1.949,0.0,0.0,0.0,24500002,Carrefour Contact,4467400.0,40500.0,24500,plaine de bretou,EYMET,grande_marque,Carrefour
2024-03-10,50300004,1.849,1.929,0.0,0.0,0.0,0.0,50300004,Carrefour Market,4868647.0,-136356.0,50300,RUE DU GENERAL DE GAULLE,AVRANCHES,grande_marque,Carrefour
2024-04-02,41000020,1.779,1.886,1.934,0.0,0.0,0.0,41000020,Carrefour Market,4759557.563159,130107.17505701,41000,1 rue Duguay Trouin,Blois,grande_marque,Carrefour
2024-07-21,40120001,1.708,0.0,1.886,1.804,0.859,0.0,40120001,Carrefour Contact,4401900.0,-31300.0,40120,Route de Pau,SARBAZAN,grande_marque,Carrefour
2024-02-12,30700001,1.834,1.892,1.951,1.856,0.0,0.0,30700001,Carrefour,4399000.0,442900.0,30700,PONT DES CHARETTES,UZèS,grande_marque,Carrefour
2024-05-21,18110001,1.705,1.88,1.935,0.0,0.0,0.0,18110001,Carrefour Market,4721054.78499,242521.747273,18110,Route de Paris,SAINT-MARTIN-D'AUXIGNY,grande_marque,Carrefour
2024-04-16,27310008,1.799,1.929,1.999,0.0,0.0,0.0,27310008,Carrefour Market,4935260.35,80636.98,27310,405 RUE DES PORTES,Bourg-Achard,grande_marque,Carrefour
2024-04-30,1300001,1.739,1.919,1.969,0.0,0.0,0.0,1300001,Carrefour,4576000.0,568600.0,1300,ZAC DE L OUSSON,Belley,grande_marque,Carrefour
2024-05-14,27200001,1.701,1.882,1.936,1.815,0.0,0.0,27200001,Carrefour,4909400.0,147200.0,27200,Boulevard Édouard Isambard,VERNON,grande_marque,Carrefour
2024-07-04,10250002,1.729,1.872,0.0,0.0,0.938,0.0,10250002,Carrefour Express,4797500.0,449400.0,10250,3 Rue Paul Terillon,Mussy-sur-Seine,grande_marque,Carrefour
2024-04-13,14125001,1.76,1.925,1.971,1.882,0.0,0.0,14125001,Carrefour,4916300.0,-29800.0,14120,3 Rue Ambroise Croizat,Mondeville,grande_marque,Carrefour
2024-06-20,56100007,1.69,0.0,1.855,1.769,0.0,0.0,56100007,Carrefour,4776400.0,-339600.0,56100,2 Rue du Colonel Jean Muller,LORIENT,grande_marque,Carrefour
2024-04-25,33460006,1.739,1.919,1.969,0.0,0.0,0.0,33460006,Carrefour,4506900.0,-72300.0,33460,ZAC Terre de Pont,Arcins,grande_marque,Carrefour
2024-01-09,25022001,1.739,0.0,1.862,1.729,0.0,0.0,25022001,Carrefour,4726400.0,606700.0,25220,1 chemin Voie des Agasses,Chalezeule,grande_marque,Carrefour
2024-08-09,24230002,1.679,1.826,1.868,0.0,0.0,0.0,24230002,Carrefour Contact,4485201.45,10365.84,24230,Zone des Reaux,Vélines,grande_marque,Carrefour
2024-06-21,17250002,1.658,1.799,1.845,0.0,0.0,0.0,17250002,Carrefour Market,4583000.0,-87700.0,17250,29 Rue Claire Pertus,PONT-L'ABBE-D'ARNOULT,grande_marque,Carrefour
2024-01-29,71850001,1.729,1.819,0.0,1.779,0.0,0.0,71850001,Carrefour Market,4630944.0,481183.0,71850, Rue de la Chapelle,CHARNAY-LèS-MâCON,grande_marque,Carrefour
2024-06-27,59216002,1.72,0.0,1.91,0.0,0.0,0.0,59216002,Carrefour Contact,5016700.0,404100.0,24450,2 rue de la République,LA COQUILLE,grande_marque,Carrefour
2024-05-10,2250001,1.749,1.939,0.0,0.0,0.949,0.0,2250001,Carrefour Market,4974300.0,377300.0,2250,Rue Saint Nicolas,MARLE,grande_marque,Carrefour
2024-08-08,62116001,1.709,1.849,1.919,0.0,0.0,0.0,62116001,Carrefour Contact,5014800.0,271700.0,62116,62 RUE DE DIERVILLE,Bucquoy,grande_marque,Carrefour
2024-03-24,76620002,1.77,1.896,1.932,0.0,0.0,0.0,76620002,Carrefour Market,4950600.0,10100.0,76620,"8, rue Romain Rolland Sanvic",Le Havre,grande_marque,Carrefour
2024-08-12,42410004,1.679,0.0,1.919,1.829,0.0,0.0,42410004,Carrefour Contact,4541800.0,468200.0,42410,ZAC NOTRE DAME,Pélussin,grande_marque,Carrefour
2024-04-10,40190003,1.859,1.969,1.989,0.0,0.0,0.0,40190003,Carrefour Market,4388500.0,-30700.0,40190,AVENUE JEAN JAURES,VILLENEUVE-DE-MARSAN,grande_marque,Carrefour
2024-03-13,68460002,1.749,1.819,0.0,0.0,0.0,0.0,68460002,Carrefour Express,4775927.8194842,727887.08436523,68460,5 Rue Aristide BRIAND,Lutterbach,grande_marque,Carrefour
2024-03-21,61100003,1.78,1.879,1.909,0.0,0.0,0.0,61100003,Carrefour Market,4875200.0,-57500.0,61100,Le Tremblay,Flers,grande_marque,Carrefour
2024-01-21,82140003,1.719,0.0,1.849,1.769,0.0,0.0,82140003,Carrefour Contact,4415000.0,174900.0,82140,115 CHEMIN DE FONTALES,Saint-Antonin-Noble-Val,grande_marque,Carrefour
2024-03-20,59134001,1.779,0.0,1.919,1.819,0.887,0.0,59134001,Carrefour Contact,5061300.0,288300.0,59134,20 rue du haut quesnoy,le maisnil,grande_marque,Carrefour
2024-06-27,65120001,1.82,1.98,2.02,0.0,0.0,0.0,65120001,Carrefour Market,4287600.0,-600.0,65120,21 Avenue du Barege,ESQUIèZE-SèRE,grande_marque,Carrefour
2024-07-04,53600003,1.678,0.0,1.899,1.796,0.0,0.0,53600003,Carrefour Market,4815300.0,-40400.0,53600,"8, Avenue des Sports",ÉVRON,grande_marque,Carrefour
2024-01-04,77508002,1.745,1.82,1.855,1.781,0.947,0.0,77508002,Carrefour,4894400.0,268100.0,77410,Route Nationale 3,CLAYE-SOUILLY,grande_marque,Carrefour
2024-05-10,77470001,1.9,0.0,0.0,0.0,0.0,0.0,77470001,Carrefour Market,4895800.0,295900.0,77470,86 Avenue de Verdun,TRILPORT,grande_marque,Carrefour
2024-07-01,62340001,1.735,0.0,1.908,1.814,0.0,0.0,62340001,Carrefour Market,5086232.70932,188456.97499,62340,ZAE DU MOULIN A HUILE,GUîNES,grande_marque,Carrefour
2024-06-14,59148003,1.689,1.859,1.959,0.0,0.0,0.0,59148003,Carrefour Contact,5042800.0,318000.0,59148,15 Rue des Résistants,Flines-lez-Raches,grande_marque,Carrefour
2024-06-27,71500002,1.749,1.867,1.939,0.0,0.0,0.0,71500002,Carrefour Market,4662500.0,523900.0,71500,Route de Beaufort,LOUHANS,grande_marque,Carrefour
2024-06-24,38640001,1.756,1.897,1.925,0.0,0.0,0.0,38640001,Carrefour Market,4511900.0,569300.0,38640,Avenue de la Ridelet,CLAIX,grande_marque,Carrefour
2024-05-16,43170003,1.749,1.979,0.0,1.959,0.0,0.0,43170003,Carrefour Contact,4496351.0,354460.0,43170,rue louis amargier route de lahgeac,Saugues,grande_marque,Carrefour
2024-07-06,41200001,1.722,1.845,1.915,1.809,0.855,0.0,41200001,Carrefour,4736000.0,176100.0,41200,ZAC DE PLAISANCE,ROMORANTIN-LANTHENAY,grande_marque,Carrefour
2024-05-16,60340001,1.716,0.0,1.921,1.844,0.0,0.0,60340001,Carrefour Market,4920800.0,239100.0,60340,ROUTE DE PRECY,VILLERS-SOUS-SAINT-LEU,grande_marque,Carrefour
2024-05-31,59113001,1.654,1.827,0.0,1.789,0.96,0.0,59113001,Carrefour Market,5054100.0,302100.0,59113,impasse roger bouvry,SECLIN,grande_marque,Carrefour
2024-06-01,21190002,1.728,0.0,1.938,1.849,0.0,0.0,21190002,Carrefour Market,4692000.0,475300.0,21190,Route du Pont de Paris,CORPEAU,grande_marque,Carrefour
2024-06-04,86380002,1.729,0.0,1.999,1.899,0.0,0.0,86380002,Carrefour Contact,4673051.46,30673.72,86380,15 RUE MARIE CURIE,Vendeuvre-du-Poitou,grande_marque,Carrefour
2024-06-10,36150001,1.679,0.0,1.929,1.835,0.0,0.0,36150001,Carrefour Market,4706879.0,180729.0,36150,Route de Chateauroux,VATAN,grande_marque,Carrefour
2024-02-21,77346001,1.855,1.884,1.937,1.845,0.0,0.0,77346001,Carrefour,4877600.0,260500.0,77340,RN 4 77346 Pontault-Combault,PONTAULT-COMBAULT,grande_marque,Carrefour
2024-01-18,31790005,1.689,1.799,1.839,0.0,0.0,0.0,31790005,Carrefour Market,4374591.6,136584.8,31790,LIEUDIT CABOURDY - RN20,Saint-Jory,grande_marque,Carrefour
2024-07-24,15400003,1.685,0.0,1.895,1.775,0.0,0.0,15400003,Carrefour Market,4528800.0,266900.0,15400,zi du Sedour,Riom-Ès-Montagnes,grande_marque,Carrefour
2024-02-14,60410003,1.849,1.859,1.899,0.0,0.0,0.0,60410003,Carrefour Contact,4930913.0,273049.0,60410,Rue Juliette Adam,Verberie,grande_marque,Carrefour
2024-02-13,63200001,1.862,1.913,1.971,1.869,0.99,0.0,63200001,Carrefour,4587800.0,311700.0,63200,AVENUE DE CLERMONT,MENETROL,grande_marque,Carrefour
2024-05-16,43100001,1.719,1.929,1.989,0.0,0.0,0.0,43100001,Carrefour Market,4531100.0,337500.0,43100,Route de Clermont,BRIOUDE,grande_marque,Carrefour
2024-06-13,7800008,1.642,0.0,1.849,1.815,0.0,0.0,7800008,Carrefour Contact,4485700.0,483000.0,7800,RD 86 - LIEUDIT LES COTES,Saint-Georges-les-Bains,grande_marque,Carrefour
2024-08-01,29170005,1.679,1.839,1.899,0.0,0.0,0.0,29170005,Carrefour Market,4789500.0,-401700.0,29170,LIEU DIT MANER KER ELO,FOUESNANT,grande_marque,Carrefour
2024-05-26,18100016,1.689,0.0,1.949,1.819,0.0,0.0,18100016,Carrefour Market,4722200.0,206900.0,18100,7 rue Etienne Dolet,Vierzon,grande_marque,Carrefour
2024-04-21,5100004,1.789,1.936,0.0,0.0,0.899,0.0,5100004,Carrefour Market,4489900.0,663400.0,5100,CENTRE COMMERCIAL SUD,BRIANCON,grande_marque,Carrefour
2024-06-25,10600002,1.709,1.839,1.889,1.819,0.0,0.0,10600002,Carrefour,4830500.0,402700.0,10300,4 Boulevard de l'Ouest,Sainte-Savine,grande_marque,Carrefour
2024-03-29,60360001,1.735,1.865,1.905,1.798,0.0,0.0,60360001,Carrefour Market,4960400.0,208500.0,60360,Avenue du Général de Gaulle,CRèVECOEUR-LE-GRAND,grande_marque,Carrefour
2024-05-15,33130002,1.701,1.845,1.888,1.781,0.0,0.0,33130002,Carrefour,4479400.0,-53500.0,33130,RUE DES FRERES LUMIERES,BEGLES,grande_marque,Carrefour
2024-02-07,62500001,1.739,0.0,1.863,1.775,0.852,0.0,62500001,Carrefour,5075500.0,224000.0,62500,Avenue Joffre,SAINT-MARTIN-AU-LAëRT,grande_marque,Carrefour
2024-07-09,44390004,1.695,1.815,1.855,0.0,0.0,0.0,44390004,Carrefour Contact,4748700.0,-124000.0,44440,23 rue des chenes,Riaille,grande_marque,Carrefour
2024-04-27,76370001,1.768,1.982,2.026,0.0,0.0,0.0,76370001,Carrefour Market,4992600.0,111500.0,76370,52 Avenue de la Libération,Dieppe,grande_marque,Carrefour
2024-02-04,72540001,1.845,1.885,1.919,0.0,0.0,0.0,72540001,Carrefour Contact,4799300.0,-15400.0,72540,"27, rue de la Libération",Loué,grande_marque,Carrefour
2024-01-22,33700001,1.727,1.798,1.838,1.755,0.0,0.0,33700001,Carrefour,4483000.0,-65400.0,33700,52 avenue de la somme,MERIGNAC,grande_marque,Carrefour
2024-02-24,4700003,1.799,1.869,1.909,0.0,0.949,0.0,4700003,Carrefour Market,4392768.0,589091.0,4700,RN 96 CENTRE COMMERCIAL LE PLAN,LA BRILLANNE,grande_marque,Carrefour
2024-03-01,33250003,1.799,1.855,1.899,0.0,0.0,0.0,33250003,Carrefour Market,4519500.0,-74900.0,33250,29 Rue du Maquis de Vignes Oudides,Pauillac,grande_marque,Carrefour
2024-02-05,38120001,1.82,0.0,1.937,1.82,0.0,0.0,38120001,Carrefour,4524000.0,566400.0,38120,1 Rue des Abattoirs,SAINT-ÉGRèVE,grande_marque,Carrefour
